电影名称	评分	评价数量	
﻿肖申克的救赎	9.7	1542356人	
霸王别姬	9.6	1140617人	
这个杀手不太冷	9.4	1393195人	
阿甘正传	9.4	1203263人	
美丽人生	9.5	704937人	
千与千寻	9.3	1235723人	
泰坦尼克号	9.4	1144998人	
辛德勒的名单	9.5	625571人	
盗梦空间	9.3	1192918人	
忠犬八公的故事	9.3	797811人	
机器人总动员	9.3	790763人	
三傻大闹宝莱坞	9.2	1078493人	
放牛班的春天	9.3	750552人	
海上钢琴师	9.2	875114人	
楚门的世界	9.2	834726人	
大话西游之大圣娶亲	9.2	838064人	
星际穿越	9.3	857546人	
龙猫	9.2	741320人	
熔炉	9.3	494219人	
教父	9.3	538162人	
无间道	9.2	688778人	
疯狂动物城	9.2	965208人	
当幸福来敲门	9.1	873475人	
怦然心动	9.0	974853人	
触不可及	9.2	570845人	
﻿蝙蝠侠：黑暗骑士	9.1	562935人	
乱世佳人	9.3	395194人	
活着	9.2	445408人	
控方证人	9.6	200772人	
少年派的奇幻漂流	9.0	856356人	
指环王3：王者无敌	9.2	433135人	
摔跤吧！爸爸	9.0	851462人	
天空之城	9.1	508244人	
鬼子来了	9.2	361966人	
十二怒汉	9.4	257629人	
天堂电影院	9.2	417508人	
飞屋环游记	9.0	775786人	
大话西游之月光宝盒	9.0	677091人	
哈尔的移动城堡	9.0	571345人	
搏击俱乐部	9.0	544055人	
罗马假日	9.0	577681人	
末代皇帝	9.2	355830人	
寻梦环游记	9.0	813911人	
闻香识女人	9.0	494636人	
辩护人	9.2	342316人	
素媛	9.2	323980人	
窃听风暴	9.1	340896人	
死亡诗社	9.0	415478人	
两杆大烟枪	9.1	370380人	
飞越疯人院	9.1	374345人	
﻿指环王2：双塔奇兵	9.0	405903人	
教父2	9.2	292274人	
指环王1：魔戒再现	9.0	455570人	
狮子王	9.0	442313人	
V字仇杀队	8.9	636256人	
美丽心灵	9.0	443871人	
饮食男女	9.1	313708人	
海豚湾	9.3	246874人	
情书	8.9	545728人	
何以为家	9.1	356830人	
钢琴家	9.1	293694人	
大闹天宫	9.3	190954人	
本杰明·巴顿奇事	8.9	578486人	
哈利·波特与魔法石	8.9	468787人	
看不见的客人	8.8	637285人	
黑客帝国	8.9	435890人	
西西里的美丽传说	8.8	554143人	
小鞋子	9.2	218867人	
美国往事	9.2	248711人	
拯救大兵瑞恩	9.0	370906人	
让子弹飞	8.8	939783人	
音乐之声	9.0	341415人	
致命魔术	8.8	499003人	
猫鼠游戏	8.9	406112人	
